;name;link;company_name;site;salary_min;salary_max;salary_currency
0;Middle/Senior Python developer;https://nn.hh.ru/vacancy/49194069?from=vacancy_search_list&query=python;Unikoom;hh.ru;3500.0;;USD
1;Разработчик Python;https://nn.hh.ru/vacancy/49041173?from=vacancy_search_list&query=python;ИП Брусова Татьяна Анатольевна;hh.ru;187000.0;338000.0;руб.
2;DevOps Engineer (Bash, Python, Centos/ Debian/ Ubuntu);https://nn.hh.ru/vacancy/49041292?from=vacancy_search_list&query=python;ИП Брусова Татьяна Анатольевна;hh.ru;160000.0;284000.0;руб.
3;DevOps инженер (Bash, Python, AWS/ GCP);https://nn.hh.ru/vacancy/49041322?from=vacancy_search_list&query=python;ИП Брусова Татьяна Анатольевна;hh.ru;160000.0;284000.0;руб.
4;Junior Python разработчик;https://nn.hh.ru/vacancy/48969346?from=vacancy_search_list&query=python;ANABAR;hh.ru;;;
5;Junior/Middle Python developer;https://nn.hh.ru/vacancy/49164157?from=vacancy_search_list&query=python;Lucky Hunter;hh.ru;140000.0;270000.0;руб.
6;Junior разработчик Python Django;https://nn.hh.ru/vacancy/48768385?from=vacancy_search_list&query=python;ООО Инсейлс Рус;hh.ru;40000.0;80000.0;руб.
7;Junior Data Engineer (Python);https://nn.hh.ru/vacancy/47914759?from=vacancy_search_list&query=python;DataFork;hh.ru;120000.0;120000.0;руб.
8;Разработчик Junior Python;https://nn.hh.ru/vacancy/49186628?from=vacancy_search_list&query=python;ООО НиКо-2001;hh.ru;70000.0;120000.0;руб.
9;Python разработчик;https://nn.hh.ru/vacancy/47682360?from=vacancy_search_list&query=python;Точка;hh.ru;;380000.0;руб.
10;Python разработчик junior;https://nn.hh.ru/vacancy/48816383?from=vacancy_search_list&query=python;amoCRM;hh.ru;30000.0;60000.0;руб.
11;Junior Python developer;https://nn.hh.ru/vacancy/49177497?from=vacancy_search_list&query=python;ООО «Баланс-Платформа»;hh.ru;;;
12;Программист Python;https://nn.hh.ru/vacancy/49182984?from=vacancy_search_list&query=python;Билайн;hh.ru;;;
13;Программист Python Django;https://nn.hh.ru/vacancy/49056411?from=vacancy_search_list&query=python;Production IT;hh.ru;140000.0;140000.0;руб.
14;Разработчик Python;https://nn.hh.ru/vacancy/48887753?from=vacancy_search_list&query=python;Hello, Doc!;hh.ru;150000.0;;руб.
15;Middle Python-разработчик;https://nn.hh.ru/vacancy/49121141?from=vacancy_search_list&query=python;FINPAY;hh.ru;250000.0;;руб.
16;Data Scientist;https://nn.hh.ru/vacancy/48434078?from=vacancy_search_list&query=python;CORE;hh.ru;180000.0;250000.0;руб.
17;Разработчик Python / Программист Python (удаленно);https://nn.hh.ru/vacancy/48496694?from=vacancy_search_list&query=python;WhatCRM.ru;hh.ru;60000.0;;руб.
18;Python Backend Developer Blockchain;https://nn.hh.ru/vacancy/48663627?from=vacancy_search_list&query=python;ИП Валовой Сергей Александрович;hh.ru;250000.0;450000.0;руб.
19;Senior Back-end Engineer (Python);https://nn.hh.ru/vacancy/48855094?from=vacancy_search_list&query=python;Corrily;hh.ru;330000.0;520000.0;руб.
20;Python-разработчик во Flow;https://nn.hh.ru/vacancy/45987511?from=vacancy_search_list&query=python;Яндекс;hh.ru;;;
21;Разработчик Python;https://nn.hh.ru/vacancy/48396921?from=vacancy_search_list&query=python;ЭКСПО-ТОРГ;hh.ru;80000.0;;руб.
22;Программист Python, системные утилиты;https://nn.hh.ru/vacancy/49186734?from=vacancy_search_list&query=python;Алентис Электроникс;hh.ru;50000.0;175000.0;руб.
23;Senior QA Automation Engineer (Python);https://nn.hh.ru/vacancy/45114743?from=vacancy_search_list&query=python;Scalable Solutions;hh.ru;300000.0;;руб.
24;Python разработчик (SberData);https://nn.hh.ru/vacancy/48925036?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
25;Python & JAICP developer;https://nn.hh.ru/vacancy/48660935?from=vacancy_search_list&query=python;Cleverbots;hh.ru;70000.0;140000.0;руб.
26;Аналитик Python;https://nn.hh.ru/vacancy/49142115?from=vacancy_search_list&query=python;Ресурсный центр Департамента здравоохранения города Москвы;hh.ru;;;
27;Python-разработчик;https://nn.hh.ru/vacancy/46558794?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
28;Разработчик Python (Django (DRF), FastApi);https://nn.hh.ru/vacancy/49164988?from=vacancy_search_list&query=python;EGAR TECHNOLOGY, INC.;hh.ru;;;
29;Python разработчик / программист Python (Python Developer);https://nn.hh.ru/vacancy/49149466?from=vacancy_search_list&query=python;ДВ технологии;hh.ru;150000.0;;руб.
30;Python Developer Backend (middle/senior);https://nn.hh.ru/vacancy/48892719?from=vacancy_search_list&query=python;Ритм;hh.ru;100000.0;400000.0;руб.
31;Разработчик Python;https://nn.hh.ru/vacancy/49164018?from=vacancy_search_list&query=python;ООО Инспектор Клауд;hh.ru;120000.0;180000.0;руб.
32;Разработчик Python;https://nn.hh.ru/vacancy/48799475?from=vacancy_search_list&query=python;AISA;hh.ru;100000.0;200000.0;руб.
33;Python-разработчик;https://nn.hh.ru/vacancy/48082943?from=vacancy_search_list&query=python;Наймиум;hh.ru;230000.0;;руб.
34;Python Developer;https://nn.hh.ru/vacancy/40612238?from=vacancy_search_list&query=python;Тинькофф;hh.ru;;;
35;Python developer (middle);https://nn.hh.ru/vacancy/47570441?from=vacancy_search_list&query=python;Fitingo;hh.ru;150000.0;;руб.
36;Python Full Stack Developer;https://nn.hh.ru/vacancy/48571444?from=vacancy_search_list&query=python;GRI;hh.ru;200000.0;350000.0;руб.
37;Middle Python Developer;https://nn.hh.ru/vacancy/48724751?from=vacancy_search_list&query=python;АО ЮНИС Лабс Солюшинз;hh.ru;160000.0;200000.0;руб.
38;Senior Python Engineer (Remote);https://nn.hh.ru/vacancy/47213315?from=vacancy_search_list&query=python;Spark Equation;hh.ru;230000.0;320000.0;руб.
39;Python - разработчик;https://nn.hh.ru/vacancy/49195089?from=vacancy_search_list&query=python;DataLine, Компания;hh.ru;;;
40;Python Developer;https://nn.hh.ru/vacancy/49119441?from=vacancy_search_list&query=python;FIX;hh.ru;;;
41;Python Lead Developer;https://nn.hh.ru/vacancy/48990045?from=vacancy_search_list&query=python;E-comet;hh.ru;200000.0;300000.0;руб.
42;Python Developer (Django);https://nn.hh.ru/vacancy/48501689?from=vacancy_search_list&query=python;DAILO;hh.ru;130000.0;160000.0;руб.
43;Python/Django Web Developer (Remote);https://nn.hh.ru/vacancy/49019839?from=vacancy_search_list&query=python;Soshace;hh.ru;4000.0;6000.0;USD
44;Python Developer (remote);https://nn.hh.ru/vacancy/49044221?from=vacancy_search_list&query=python;Brandquad;hh.ru;150000.0;;руб.
45;Разработчик Python в Яндекс.Q;https://nn.hh.ru/vacancy/48624241?from=vacancy_search_list&query=python;Яндекс;hh.ru;;;
46;Python Developer;https://nn.hh.ru/vacancy/47288057?from=vacancy_search_list&query=python;Artezio;hh.ru;;;
47;Python разработчик (Django);https://nn.hh.ru/vacancy/48490688?from=vacancy_search_list&query=python;HuskyJam;hh.ru;;;
48;Программист Python;https://nn.hh.ru/vacancy/49128009?from=vacancy_search_list&query=python;IPONWEB Ltd (UK);hh.ru;;;
49;Разработчик Python (искусственный интеллект);https://nn.hh.ru/vacancy/48851241?from=vacancy_search_list&query=python;Корпорация ЭЛАР;hh.ru;;;
50;Senior Python разработчик (PT Sandbox);https://nn.hh.ru/vacancy/49155398?from=vacancy_search_list&query=python;Positive Technologies;hh.ru;;;
51;Python Django developer;https://nn.hh.ru/vacancy/48701378?from=vacancy_search_list&query=python;ООО БОЛЬШАЯ ТРОЙКА;hh.ru;110000.0;250000.0;руб.
52;Middle QA Automation Engineer (Python);https://nn.hh.ru/vacancy/43394113?from=vacancy_search_list&query=python;Scalable Solutions;hh.ru;180000.0;250000.0;руб.
53;Python Senior Backend Developer;https://nn.hh.ru/vacancy/48707258?from=vacancy_search_list&query=python;GenX;hh.ru;3000.0;5000.0;USD
54;Full-stack Python;https://nn.hh.ru/vacancy/46754461?from=vacancy_search_list&query=python;ПАО БАНК УРАЛСИБ;hh.ru;;;
55;Back-end python программист;https://nn.hh.ru/vacancy/45987039?from=vacancy_search_list&query=python;ООО ВойсЛинк;hh.ru;;200000.0;руб.
56;Python Developer;https://nn.hh.ru/vacancy/49046919?from=vacancy_search_list&query=python;ООО Ябби;hh.ru;135000.0;187000.0;руб.
57;Backend Python Developer;https://nn.hh.ru/vacancy/47777649?from=vacancy_search_list&query=python;EXMO;hh.ru;;;
58;Python developer;https://nn.hh.ru/vacancy/49122707?from=vacancy_search_list&query=python;GamesBoost42;hh.ru;;;
59;Python разработчик (FastAPI / aiohttp / sanic);https://nn.hh.ru/vacancy/49126424?from=vacancy_search_list&query=python;HuskyJam;hh.ru;150000.0;;руб.
60;Data Engineer (Python);https://nn.hh.ru/vacancy/48601979?from=vacancy_search_list&query=python;Prisma Labs, inc.;hh.ru;;;
61;Middle разработчик Python / Django (удалённо);https://nn.hh.ru/vacancy/48923479?from=vacancy_search_list&query=python;ООО Диджитал Пайн;hh.ru;;;
62;Senior Python Developer;https://nn.hh.ru/vacancy/48847592?from=vacancy_search_list&query=python;Top Remote Talent;hh.ru;4000.0;6000.0;USD
63;Web-разработчик (python);https://nn.hh.ru/vacancy/46584233?from=vacancy_search_list&query=python;ООО Национальные Технологии;hh.ru;;;
64;Python developer;https://nn.hh.ru/vacancy/49010529?from=vacancy_search_list&query=python;ООО Цифровые Банковские Платформы;hh.ru;;;
65;Senior Python Engineer (Remote);https://nn.hh.ru/vacancy/47213315?from=vacancy_search_list&query=python;Spark Equation;hh.ru;230000.0;320000.0;руб.
66;Разработчик Python (backend);https://nn.hh.ru/vacancy/48213042?from=vacancy_search_list&query=python;Whalemap;hh.ru;150000.0;300000.0;руб.
67;Software Developer Python;https://nn.hh.ru/vacancy/48718315?from=vacancy_search_list&query=python;ООО ВЕБ Инфраструктура;hh.ru;60000.0;180000.0;руб.
68;Python разработчик (middle +);https://nn.hh.ru/vacancy/49067357?from=vacancy_search_list&query=python;ООО МЕДИКАЛ НОУТ;hh.ru;120000.0;180000.0;руб.
69;Backend developer python;https://nn.hh.ru/vacancy/47799772?from=vacancy_search_list&query=python;Билайн;hh.ru;;;
70;Python Senior Backend Developer;https://nn.hh.ru/vacancy/48707258?from=vacancy_search_list&query=python;GenX;hh.ru;3000.0;5000.0;USD
71;Senior Python-Разработчик (удаленно);https://nn.hh.ru/vacancy/47484756?from=vacancy_search_list&query=python;BestDoctor;hh.ru;180000.0;;руб.
72;Python developer (Автографик);https://nn.hh.ru/vacancy/47431643?from=vacancy_search_list&query=python;Домклик;hh.ru;;;
73;Data Scientist;https://nn.hh.ru/vacancy/48484869?from=vacancy_search_list&query=python;Borzo;hh.ru;220000.0;;руб.
